Show_Id,Category,Title,Director,Cast,Country,Release_Date,Rating,Duration,Type,Description,Release_Year,Duration_value,Duration_unit
s1,Tv Show,3%,Unknown,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,2020-08-14,TV-MA,4 Seasons,"International Tv Shows, Tv Dramas, Tv Sci-Fi & Fantasy","In A Future Where The Elite Inhabit An Island Paradise Far From The Crowded Slums, You Get One Chance To Join The 3% Saved From Squalor.",2020,4.0,Seasons
s2,Movie,07:19,Jorge Michel Grau,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,2016-12-23,TV-MA,93 min,"Dramas, International Movies","After A Devastating Earthquake Hits Mexico City, Trapped Survivors From All Walks Of Life Wait To Be Rescued While Trying Desperately To Stay Alive.",2016,93.0,min
s3,Movie,23:59,Gilbert Chan,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",Singapore,2018-12-20,R,78 min,"Horror Movies, International Movies","When An Army Recruit Is Found Dead, His Fellow Soldiers Are Forced To Confront A Terrifying Secret That'S Haunting Their Jungle Island Training Camp.",2018,78.0,min
s4,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,2017-11-16,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In A Postapocalyptic World, Rag-Doll Robots Hide In Fear From Dangerous Machines Out To Exterminate Them, Until A Brave Newcomer Joins The Group.",2017,80.0,min
s5,Movie,21,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack Mcgee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,2020-01-01,PG-13,123 min,Dramas,A Brilliant Group Of Students Become Card-Counting Experts With The Intent Of Swindling Millions Out Of Las Vegas Casinos By Playing Blackjack.,2020,123.0,min
s6,Tv Show,46,Serdar Akar,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,2017-07-01,TV-MA,1 Season,"International Tv Shows, Tv Dramas, Tv Mysteries","A Genetics Professor Experiments With A Treatment For His Comatose Sister That Blends Medical And Shamanic Cures, But Unlocks A Shocking Side Effect.",2017,1.0,Season
s7,Movie,122,Yasir Al Yasiri,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,2020-06-01,TV-MA,95 min,"Horror Movies, International Movies","After An Awful Accident, A Couple Admitted To A Grisly Hospital Are Separated And Must Find Each Other To Escape — Before Death Finds Them.",2020,95.0,min
s8,Movie,187,Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",United States,2019-11-01,R,119 min,Dramas,"After One Of His High School Students Attacks Him, Dedicated Teacher Trevor Garfield Grows Weary Of The Gang Warfare In The New York City School System And Moves To California To Teach There, Thinking It Must Be A Less Hostile Environment.",2019,119.0,min
s9,Movie,706,Shravan Kumar,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",India,2019-04-01,TV-14,118 min,"Horror Movies, International Movies","When A Doctor Goes Missing, His Psychiatrist Wife Treats The Bizarre Medical Condition Of A Psychic Patient, Who Knows Much More Than He'S Leading On.",2019,118.0,min
s10,Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",India,2017-12-15,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",An Architect And His Wife Move Into A Castle That Is Slated To Become A Luxury Hotel. But Something Inside Is Determined To Stop The Renovation.,2017,143.0,min
s11,Movie,1922,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian D'Arcy James, Neal Mcdonough",United States,2017-10-20,TV-MA,103 min,"Dramas, Thrillers","A Farmer Pens A Confession Admitting To His Wife'S Murder, But Her Death Is Just The Beginning Of A Macabre Tale. Based On Stephen King'S Novella.",2017,103.0,min
s12,Tv Show,1983,Unknown,"Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States",2018-11-30,TV-MA,1 Season,"Crime Tv Shows, International Tv Shows, Tv Dramas","In This Dark Alt-History Thriller, A Naïve Law Student And A World-Weary Detective Uncover A Conspiracy That Has Tyrannized Poland For Decades.",2018,1.0,Season
s13,Tv Show,1994,Diego Enrique Osorno,Unknown,Mexico,2019-05-17,TV-MA,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows","Archival Video And New Interviews Examine Mexican Politics In 1994, A Year Marked By The Rise Of The Ezln And The Assassination Of Luis Donaldo Colosio.",2019,1.0,Season
s14,Movie,"2,215",Nottapon Boonprakob,Artiwara Kongmalai,Thailand,2019-03-01,TV-MA,89 min,"Documentaries, International Movies, Sports Movies","This Intimate Documentary Follows Rock Star Artiwara Kongmalai On His Historic, 2,215-Kilometer Charity Run Across Thailand In 2017.",2019,89.0,min
s15,Movie,3022,John Suits,"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman",United States,2020-03-19,R,91 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Stranded When The Earth Is Suddenly Destroyed In A Mysterious Cataclysm, The Astronauts Aboard A Marooned Space Station Slowly Lose Their Minds.",2020,91.0,min
s16,Movie,Oct-01,Kunle Afolayan,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin",Nigeria,2019-09-01,TV-14,149 min,"Dramas, International Movies, Thrillers","Against The Backdrop Of Nigeria'S Looming Independence From Britain, Detective Danladi Waziri Races To Capture A Killer Terrorizing Local Women.",2019,149.0,min
s17,Tv Show,Feb-09,Unknown,"Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-Bloshi",Unknown,2019-03-20,TV-14,1 Season,"International Tv Shows, Tv Dramas","As A Psychology Professor Faces Alzheimer'S, His Daughter And Her Three Close Female Friends Experience Romance, Marriage, Heartbreak And Tragedy.",2019,1.0,Season
s18,Movie,22-Jul,Paul Greengrass,"Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States",2018-10-10,R,144 min,"Dramas, Thrillers","After Devastating Terror Attacks In Norway, A Young Survivor, Grieving Families And The Country Rally For Justice And Healing. Based On A True Story.",2018,144.0,min
s19,Movie,15-Aug,Swapnaneel Jayakar,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019-03-29,TV-14,124 min,"Comedies, Dramas, Independent Movies","On India'S Independence Day, A Zany Mishap In A Mumbai Chawl Disrupts A Young Love Story While Compelling The Residents To Unite In Aid Of A Little Boy.",2019,124.0,min
s20,Movie,'89,Unknown,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,2018-05-16,TV-PG,87 min,Sports Movies,"Mixing Old Footage With Interviews, This Is The Story Of Arsenal'S Improbable Win Versus Liverpool In The Final Moments Of The 1989 Championship Game.",2018,87.0,min
